name,label
#BizimElimizde,politics_akp
#BizimFestZeytinliBaşlıyor,ad_other
#BizimSosyalMedyaEllam,ad_ellam
#BizimTakımınYenileri,misc
#BizimkisiBirAşkHikayesi,misc
#BizimÖzgenle,misc
#BlokeOldu,misc
#BombaGibiGeliyorum,misc
#BombaGibiyim,misc
#Boomerang,misc
#BorcHapisteOdenmez,appeal_borc
#BorusanOtomotivRezilliktir,boykot
#BorçHapisteÖdenmez,appeal_borc
#BoykotEfes,boykot
#BoykotMediaMarktRealİşçileri,boykot_mediamarktmetroreal
#BozbeyGeliyorSon2Gün,politics_chp
#BozbeyinHayvanlaraEziyeti,politics_antichp
#BozbeyinRantKapısıNİLVAK,politics_antichp
#BozbeyinSkandalFestivali,politics_antichp
#BreakingnewsTurkey,misc
#BruskNefİçinAdalet,appeal_other
#BuAşkBitmez,misc
#BuBenimÖyküm,misc
#BuBirSkandaldır,misc
#BuKadarSoysuzaBirSOYLUYeter,politics_akp
#BuMuSuç,cult_furkan
#BuSaatlerHep,misc
#BuSeferSonDiyorum,misc
#BuSevdaBitmezReis,politics_akp
#BuSevdaBıtmezReıs,politics_akp
#BucasporBelediyeMeclisinde,misc
#BucasporaDestekOlPiriştina,misc
#BucaİçinPiriştina,politics_chp
#BugünGünlerdenMilliEmlak,appeal_atama
#BugünGüzelOlacak,misc
#BugünHerŞeySandıkta,politics
#BugündeAtanamadıİnşMüh,appeal_atama
#BugünküRuhhalim,misc
#BundanBöyleYoluYok,misc
#BununAdıBasitlik,misc
#BuradaYerAlmakistermisiniz,ad
#BurakBey,misc
#BurakHocaSafakKac,misc
#BurayaReklamVerebilirsiniz,ad
#BurcuBayramİyikiVarsın,misc
#BurdurGölüKurumasın,ad_campaign_other
#BurhanAltıntop,misc
